image_id,turtle_id
ID_Y0KYE5XD,t_id_he7JTQxO
ID_8JTIQ4UI,t_id_he7JTQxO
ID_LSXPZYSN,t_id_he7JTQxO
ID_SHZ2HDSP,t_id_he7JTQxO
ID_6TOFB06E,t_id_xry0Yg2j
ID_S4UE5U6O,t_id_xry0Yg2j
ID_JJIFQ5KY,t_id_xry0Yg2j
ID_A5VJ0BYZ,t_id_xry0Yg2j
ID_2XUE5CLL,t_id_SwQZGIpa
ID_Y2OPZMDL,t_id_SwQZGIpa
ID_X8AH3XRC,t_id_SwQZGIpa
ID_L2Q2NYKZ,t_id_SwQZGIpa
ID_VH55LNVA,t_id_SwQZGIpa
ID_H4NQYY1O,t_id_SwQZGIpa
ID_2QJVLVCN,t_id_SwQZGIpa
ID_YEP1IBM1,t_id_SwQZGIpa
ID_SMFK3L5Y,t_id_SwQZGIpa
ID_Z8WZ3DIV,t_id_SwQZGIpa
ID_M3EYL2XQ,t_id_SwQZGIpa
ID_JT0H4H9B,t_id_SwQZGIpa
ID_C0E2YOXO,t_id_SwQZGIpa
ID_WDR3JEBO,t_id_SwQZGIpa
ID_FH9DJEOO,t_id_NBRQwrd6
ID_DUG6SA3H,t_id_NBRQwrd6
ID_027Q8Y4L,t_id_NBRQwrd6
ID_K44DW22Z,t_id_NBRQwrd6
ID_MZ8RWYM7,t_id_s3XRtjGW
ID_45R7BUIG,t_id_s3XRtjGW
ID_SO4V6QIV,t_id_s3XRtjGW
ID_JHIR0XAX,t_id_s3XRtjGW
ID_G5XGAE57,t_id_s3XRtjGW
ID_2ZGGWAE1,t_id_s3XRtjGW
ID_MLDKQS38,t_id_gnWhZ6RM
ID_NOMWZH4A,t_id_gnWhZ6RM
ID_UKONUGZL,t_id_gnWhZ6RM
ID_U5UHIU25,t_id_gnWhZ6RM
ID_1Z8SWPMQ,t_id_gnWhZ6RM
ID_GI31YLWD,t_id_gnWhZ6RM
ID_QF170BOA,t_id_gnWhZ6RM
ID_X9WUNNW4,t_id_gnWhZ6RM
ID_3SBDFOUF,t_id_gnWhZ6RM
ID_FXZIMKYI,t_id_gnWhZ6RM
ID_5ZBH1XJK,t_id_N6e6D5An
ID_3SRSIWF8,t_id_N6e6D5An
ID_1QQZ711X,t_id_N6e6D5An
ID_CFDD7ZTL,t_id_sSZ6Sq0n
ID_L10YC3RW,t_id_sSZ6Sq0n
ID_TPHALKWX,t_id_sSZ6Sq0n
ID_B8XIYNW6,t_id_sSZ6Sq0n
ID_ZW3XI1RH,t_id_Fdv0bBEP
ID_QVIWGPC0,t_id_Fdv0bBEP
ID_Q3ZESRY8,t_id_Fdv0bBEP
ID_3P62MASH,t_id_Fdv0bBEP
ID_031OAYHS,t_id_Fdv0bBEP
ID_7ZOXIH4G,t_id_Fdv0bBEP
ID_SSNHXESB,t_id_Fdv0bBEP
ID_NZDQCD88,t_id_Fdv0bBEP
ID_NAWB72GM,t_id_Fdv0bBEP
ID_8A8NQOKI,t_id_8b8sprYe
ID_GI5O97HG,t_id_8b8sprYe
ID_YN3O1X43,t_id_8b8sprYe
ID_OPIH4QBC,t_id_8b8sprYe
ID_ZE24G7ZF,t_id_8b8sprYe
ID_DFZDLQ87,t_id_8b8sprYe
ID_F6MZXJGX,t_id_8b8sprYe
ID_L10YDY8E,t_id_8b8sprYe
ID_4K16TX0M,t_id_8b8sprYe
ID_BTDA7Q8H,t_id_D7NA71la
ID_UNQWGPCX,t_id_D7NA71la
ID_N4VUE4DL,t_id_v4QBNDgP
ID_ZHHJFI8U,t_id_v4QBNDgP
ID_1KJAHLPJ,t_id_v4QBNDgP
ID_2LYEHNFY,t_id_v4QBNDgP
ID_8DHE6GA8,t_id_v4QBNDgP
ID_XTQ36C7H,t_id_3fKmnkBS
ID_42XKA7V4,t_id_WDCMGvI4
ID_3WA3UZEL,t_id_WDCMGvI4
ID_5S6KJ8XJ,t_id_WDCMGvI4
ID_H66LRJ5A,t_id_WDCMGvI4
ID_9OOSSZXQ,t_id_WDCMGvI4
ID_HWNWD9NX,t_id_WDCMGvI4
ID_B6RD3HTN,t_id_WDCMGvI4
ID_32PMO9WW,t_id_WDCMGvI4
ID_7IC89VMI,t_id_WDCMGvI4
ID_3CONIX9Z,t_id_WDCMGvI4
ID_ZF63PXM4,t_id_WDCMGvI4
ID_2Y1LHSRF,t_id_zNa7fQWO
ID_19TTVFJU,t_id_zNa7fQWO
ID_PF59HN4I,t_id_zNa7fQWO
ID_X39R2W7C,t_id_zNa7fQWO
