image_id,image_location,turtle_id
ID_2RK4WLN8,top,t_id_VP2NW7aV
ID_VVW0QXLX,left,t_id_qZ0iZYsC
ID_RVATH2HZ,Right,t_id_3b65X5Lw
ID_2GB90GPS,left,t_id_YjXYTCGC
ID_LM6S0B1M,top,t_id_d6aYXtor
ID_M23WYAY4,left,t_id_ksTLswDT
ID_8VXV1HDO,top,t_id_hRzOoJ2t
ID_RHU29QC9,left,t_id_utw0thCe
ID_4SG74XJ1,Top,t_id_k1rScFLB
ID_KXCS1UOR,left,t_id_n2FBHk6d
ID_7Y87NI7I,right,t_id_ZfvZBX4Q
ID_ZLVRXJZR,left,t_id_G5eoqwD8
ID_A1Z8O31H,top,t_id_FBsGDJhU
ID_V9OTO8MH,right,t_id_Ts5LyVQz
ID_6Y4FG4BB,right,t_id_NW7wn8TC
ID_2LXSCM50,left,t_id_JI6ba2Yx
ID_TGN9OBL2,left,t_id_ifWwxWF4
ID_ULAKU6DJ,right,t_id_uIlC9Gfo
ID_S6FL4KD3,right,t_id_dVQ4x3wz
ID_3L6M3RWM,right,t_id_3K93fQBS
ID_Z8AKLN0N,left,t_id_hRzOoJ2t
ID_10S4M153,top,t_id_IlO9BOKc
ID_XP6OWWQW,right,t_id_DPYQnZyv
ID_SCKMVRWX,left,t_id_ROFhVsy2
ID_XZJJ5JKN,right,t_id_BI99coHt
ID_I7XE1RII,left,t_id_GrxmyS59
ID_JICN2IP3,right,t_id_AOWArhGb
ID_891VOTKK,left,t_id_4XiPKIk7
ID_WWMKB8ZD,top,t_id_mpuNp8mf
ID_O3K6N0PN,left,t_id_stWei2Uq
ID_3SY3WRKR,top,t_id_15bo4NKD
ID_R1R94L1C,left,t_id_QqeoI5F3
ID_F84YDUV1,left,t_id_NW7wn8TC
ID_Y3N4ES3O,right,t_id_Kf73l69A
ID_EU9I4R8T,left,t_id_Kf73l69A
ID_1E6X2GLW,right,t_id_Kc1tXDbJ
ID_ZT7NN2BN,top,t_id_AOWArhGb
ID_HDJEY7GV,right,t_id_2Yn71r7R
ID_VXC0GWEK,top,t_id_iZQiE7wb
ID_1EAHT0TG,right,t_id_m2JvEcsg
ID_V1PZ6AR5,top,t_id_a4VYrmyA
ID_IS1EW5KB,top,t_id_hRzOoJ2t
ID_BPL211JZ,Right,t_id_3b65X5Lw
ID_MHIMCE5O,left,t_id_UVQa4BMz
ID_19M73WWV,right,t_id_tjWepji1
ID_2A9SNF98,right,t_id_hRzOoJ2t
ID_JZZF3AJ5,right,t_id_UVQa4BMz
ID_PITDB70K,left,t_id_BXWccqAn
ID_489B62RG,right,t_id_1KIezxkh
ID_X8HHIP6P,left,t_id_e9i3Lbq4
ID_E3U6IY1D,top,t_id_AOWArhGb
ID_4G07YNGA,left,t_id_YjXYTCGC
ID_P7LXRA4M,left,t_id_4XiPKIk7
ID_IOKYX7ZF,right,t_id_Kf73l69A
ID_I3A1FMQ8,right,t_id_qZ0iZYsC
ID_G0B2CPBT,left,t_id_bYageLYA
ID_BW9BPB5F,left,t_id_AOWArhGb
ID_N7VYJGMW,right,t_id_JI6ba2Yx
ID_46LUQOPY,right,t_id_8b8sprYe
ID_IZB1O90H,right,t_id_2QmcRkNj
ID_G7D2IW6Z,top,t_id_UVQa4BMz
ID_E1VTOK0D,right,t_id_iZQiE7wb
ID_BP9DTP1R,top,t_id_9GFmcOd5
ID_I3BS8QHQ,left,t_id_smNwfXAT
ID_6Z5TCW8Q,top,t_id_hibDzPAP
ID_XLATFLE4,top,t_id_D3kHUEgp
ID_Z2ILP0TR,top,t_id_e9i3Lbq4
ID_FVIB6JCX,left,t_id_ROFhVsy2
